"USERID","REQUESTEDURL"
80,"mama_na_o_chora,chalice,cura_noites_ritual_2006,intro_noites_ritual_2006,live_up_noites_ritual_2006,e_verdade_ft_mentalizado,um_dos_meus_loops_com_delacruz,dih_p_unit_ft_azteka_entre_o_bem_e_o_mal,positive_ft_real_mc_mentalizado_azteka_festa_e_nossa,daruller_u_s_feat_p_paiva_wacklogia"
81,"fuck_off_katchorras_canuca_ft_isek,dj_lil_thug_nha_rainha_remix_love_2008,puta_da_ragga,danito_ft_myth_jp_lagrimas_na_cara,chyvi_dodu_na_bo,dj_hf_kizomba_100,jordin_chris_brown,matabaya_ft_dj_pausas_wanderground,shakal_eu_gosto_de_ti_matxu,sushiraw_presents_elizio_confirmaa_a_o_2008_what_u_gonna_do_ft_kaysha_mp3"
83,"1a_afinaa_a_o_original,a_pra_casar_diogo_leite,asas_brancas,caminhada_original,da_ca_beijinhos,dar_e_vender_lua_s_ferreira,fado_hila_rio,isso_a_calypso,ja_la_vai_o_meu_amor,la_a_arandilheira"
87,"2_coracoes_e_1_historia,6_da_manha,a_bela_portuguesa,abre_a_janela,a_homen_valha_te_deus,a_linda_portuguesa,a_minha_guitarra,amizade_fantastica_duo_musical_amigos_da_ma_sica,amor_de_estudante,amor_sem_juizo"
89,"a_sa_s_com_a_nostalgia,pecados_da_vida_feat_tavares,prena_ncio_i_com_dino,puto_da_street_mais_uma_produa_a_o,6_da_manha,abre_a_janela,acabou_1,algarve_em_acordea_o,a_linda_portuguesa,amigo_apaixonado_1"
90,"a_arte_mais_bela,abre_os_olhos_1,a_minha_hista_ria_ft_missy_e_gijoe,a_minha_luta,a_minha_outra_hista_ria,amizade_na_o_se_vende,amor_sem_fim_hip_hop,aquele_momento_1,arrependimento,a_s_sa_tu_2009"
96,"aborto_ft_hm,amizade_perda_o,pra_ncipio_da_desilusa_o,s_k_ata_a_morte,contigo_e_so_contigo,sentimentos_na_life,volta_para_mim_ft_sofia_2008,harry_potter,k_ppa_kid_ft_dra_kula_profundezas_obscuras,k_ppa_kid_ft_joker_soldados_de_papel"
99,"pensamento_3,te_quiero_com_susana,bela_aurora,capas_negras,carrinha_de_caixa_aberta,fado_do_menino,grito_acada_mico_1,intromental_instrumental,vivo_para_o_a_lcool,a_minha_apresentaa_ao"
101,"dj_striker_best_house_summer_party_remix,dj_striker_dont_stop_the_music_remix,dj_striker_red_hot_remix,dj_striker_buraka_vs_da_weasel_remix,dj_striker_canta_bahia_remix,dj_striker_gasolina_remix,dj_striker_letas_get_down_remix,dj_striker_rise_up_2007_remix,when_the_night_falls,dois_kizomba"
104,"whisper_1,cristal,echo,fantasy,growth,fado31,planic,strange_things_can_happen,last_control,minimal_part_ii"
107,"01_djas_di_street_krew_2008_dj_master_g_hino_da_street_bonus_track,01_intro_mixtape_ideias_expressadas,02_djas_di_street_krew_2008_dj_ka_nada_for_all_my_friends,02_mudancas_mixtape_ideias_expressadas,05_djas_di_street_krew_2008_dj_ka_nada_ku_techno,08_djas_di_street_krew_2008_dj_k_l_feat_dj_master_g_sem_txoru,100_alta_categoria,10_sem_ti_na_o_da_kutegash_ft_hm,11_djas_di_street_krew_2008_dj_hodji_alameda_das_palmeiras_bela_vista,11_mulher_que_deus_amou"
112,"dj_pak_rise_up_vocal_yves_larock_tribal_expecial,fuck_off_katchorras_canuca_ft_isek,ta_pioneiro_ft_ag_ir_som_tuga_par,dj_pak_by_champions_league,dj_pak_mind_control_fauvrelle_tribal_mix,eu_apoio_o_bairro_para_o_bairro_me_apoiar,a_minha_luta,rap_nao_vai_parar_remix_monte_kapta_arrentela,acabou_noites_ritual_2006,destino_traa_ado_canuca"
113,"02_00am,5_graus,amanha_1,amor_por_ti_teste,anjo_sonial,a_sa_s_com_a_nostalgia,brock_and_hungry_pra_produa_a_o,canat_let_you_stay,chain_of_fools,chalice"
114,"art_of_living,broken_system_1,ventos_arrepiados,as_the_water_slowly_fills_our_lungs,between_myself,black_symphony,bloody_mistress,conquer,crimson_landscape_1,dealing_with_lies"
117,"desencontros_na_minha_vida,garota_bonita_e_bela,guitarra_romantica,instrumental_ava_maria_para_dois,instrumental_quero_sentir_teu_vibrar,loneliness_memories,maravilhosa_linha_de_cascais,o_amor_a_eterno_amor,peace_in_africa,quero_sentir_teu_vibrar"
124,"dj_striker_best_house_summer_party_remix,dj_striker_dont_stop_the_music_remix,dj_striker_rock_this_party_remix,dj_striker_buraka_vs_da_weasel_remix,dj_striker_canta_bahia_remix,dj_striker_gasolina_remix,dj_striker_letas_get_down_remix,dj_striker_rise_up_2007_remix,dj_striker_cascada_vs_kuduro_remix,dj_striker_what_is_love_2008_remix"
126,"a_arte_mais_bela,abre_os_olhos_1,a_minha_hista_ria_ft_missy_e_gijoe,a_minha_luta,a_minha_outra_hista_ria,amizade_na_o_se_vende,amor_sem_fim_hip_hop,aquele_momento_1,arrependimento,a_s_sa_tu_2009"
127,"40a_a_sombra,strange_things_can_happen,prela_dio,negras_como_a_noite,when_the_night_falls,foi_assim_1,growing_1,mentes_de_coraa_a_o_1,road_1,lounge_control"
128,"quero_te_sentir,nao_me_abandones_hip_hop,bela_aurora,capas_negras,carrinha_de_caixa_aberta,fado_do_menino,grito_acada_mico_1,intromental_instrumental,vivo_para_o_a_lcool,a_nossa_life_com_mc_fly"
133,"goldstein,bloody_mistress,nuclear_powered_fear,shadows_entwined,cellophane_wermacht_live,999_cara,conquer,dog_of_god,benediction,eternal_spiral"
139,"about_you_1,angels_1,apologize_the_real_booty_babes,are_you_ready_1,art_of_living,a_secret,atb_remix,babila_nia,back_again_mikel_filipe_vs_muratuyar,baila_tribal_remix"
145,"brincadeira,sogno_na_37_massimo_cavalli,viagem_x_za_soares,pensamento_3,te_quiero_com_susana,blue_interval_franco_piccinno,d_d_d_za_soares,lisboa_franco_piccino,a_minha_apresentaa_ao,are_you_ready_1"
147,"ai_ai_katrefa,hora_da_verdade,madalena,arrependimento,rookie_ft_mrk_da_diva_divina_m2,tavareslm_skhuba_todos_juntos,nao_deixes_q_a_vida_fuja_de_ti,definia_a_o_de_vida,querem_beef,beleza_rara_jackpot"
149,"nao_nao_nao,apara_ncia,passado_a_teu_lado_goldmynd_feat_onix,poesia_da_rua,tu_a_s_a_minha_mulher,um_amor_perdido,assim_na_o_da,quem_a_ela,sem_ti,culpado"
155,"la_grima_de_ma_e,caninha_verde,vira_velho,cantiga_bailada,moda_do_entrudo,s_joa_o,candeia,cancao_de_isabel,samacairo,fado_hila_rio"
156,"como_a_noite_a_longa,ha_quanto_tempo,i_m_in_trouble_now,paira_a_tona_de_agua,a_minha_apresentaa_ao,aquele_gajo,ataque,cisco_houseguitarra,come_com_o_meu_irmao,great_lover"
158,"batam_com_a_cabea_a_no_cha_o,cairo_versa_o_de_tema_dos_taxi,childhood_dismay,conquer,corvos_de_branco,cuidado_o_diabinho_anda_a_solta,dangerous_cross,dog_of_god,estranhos_caminhos,eu_nao_dou"
159,"riseupm_ix,ft_dj_hellboy_tuning_its_not_a_crime_part_ii,tunning_its_not_a_crime,warning_power_tecnho,major_ft_distinto_sera_amor,confesso,lil_thug_sound_production,mc_new_feat_mdk_ladyas_amor_verdadeiro_2a_verxao,asher_ft_ruby_c_bomb_putos_di_ghetto,kizomba_dam_bo_amor"
164,"mgc_chega,danito_ft_myth_jp_lagrimas_na_cara,idade_dos_sonhos,tu_a_s_a_minha_mulher,amor_controverso_20_08_mcbboy_ft_bmc_com_vany_no_refrao,mcbboy_ft_relikias_as_nossas_hista_rias_2oo_8,relikias_ft_mcbboy_amizade_ou_falsidade_2oo8,a_d_ma_di_valor_amor_eskexido_a,ela_dasulla_ft_phattdahkillah_ft_dolla_bill,mc_tropax"
166,"06_from_the_chair,08_utopian,12_dead_language,13_rosa,13_wrong_choices,19_magic,1a_afinaa_a_o_original,24_7_riot,a_abrila,about_you"
167,"chalice,intro_noites_ritual_2006,live_up_noites_ritual_2006,acabou_noites_ritual_2006,mama_na_o_chora,babila_nia,homem_do_sucesso,homem_pola_cia,homem_rabot,luta_de_raa_z"
168,"sonho_real_r7f_ft_froufe,thug_life_brabo_rm_feat_ajk,tropaz_di_ghetto_braborm_ft_hugoge_ft_bruno_ninguem_nos_manda_a_baixo,na_o_entendo_r7f,brabo_no_mike_brincadeira,apenas_tu_rainha_da_natureza_r7f,ta_o_perto_r7f,danito_ft_jp_rafa_preciso_do_teu_amor,riseupm_ix,danito_jp_ft_rafa_dana_porque"
173,"ha_quanto_tempo,te_quiero_com_susana,i_know_com_a_sabine,paira_a_tona_de_agua,se_tu_visses_o_que_eu_vi,teus_olhos_entristecem_com_a_susana,st_james_infermary_new_take_1,take_me_back,aquele_gajo,are_you_ready_1"
180,"bloco111_faz_a_tua_nuvem,ku_mi_nau,coraa_oes_despedaa_ados_tropas_ft_cheetif_art_de_rue_dedicado_kika_titax_anna_lucia,mctropas_o_peso_da_culpa_r_i_p_filha,p_unit_ft_tropas_isek_patakeiros_no_movimento,tropas_ft_dany_boy_caminhantes_do_hip_hop,tropas_ft_thuga_g_partida_injusta_nuqqa_l_4ever,a_o_movimento_mixtape_discurso_directo_tropas_isek_c_heetif,bloco111_thug_b111_levanta_a_cabea_a_thug,ata_onde_posso_ir_aca_stico"
183,"apara_ncia,tu_a_s_a_minha_mulher,culpado,poesia_da_rua,so_quero_voltar_a_ter,passado_a_teu_lado_goldmynd_feat_onix,um_amor_perdido,fuck_off_katchorras_canuca_ft_isek,a_arte_mais_bela,danito_ft_myth_jp_lagrim_as_na_cara"
192,"a_arte_mais_bela,a_minha_hista_ria_ft_missy_e_gijoe,a_minha_outra_hista_ria,best_of_trance_2008,dancemusicmix,dancing_in_the_night_hb_production_vol_2,danito_ft_myth_jp_lagrimas_na_cara,disco_dance_rhythm,esboa_o,fatal_tecnho"
199,"parazaa_r_music_mix,best_of_trance_2008,ft_dj_epsyn_first_power,warning_power_tecnho,minguit_o_kuduro_mix,fatal_tecnho,summerjam_remix,tunning_its_not_a_crime,uaaah_kuduro_mix,zig_zag_remix"
201,"em_cada_canto_do_meu_mundo,danito_ft_jp_marrone_o_nosso_amor_acabou_danito_produa_a_o,danito_jay_p_ft_mario_myth_rute_sera_que_pensas_em_mim,dj_shark_remember_2007,remember_2007_2008_version_dj_shark,puta_da_ragga,eras_a_minha_ft_ntk,bo_ten_qu_luta,desculpa_pelo_que_te_fiz_passar,skhuba_infa_ncia_triste"
205,"atlantis,caipora,down_to_whisky,everyday_i_have_the_blues_ao_vivo,fly_america,i_got_my_mojo_working_ao_vivo,paulo_gama_2,paulo_gama_projectos,primavera,se_voce_vai_de_xaxado_eu_vou_de_rock_roll"
208,"kenny_g_minha_princesa_enova_a_ao2007,cyntiiah_g_ft_g_foxx_ft_ntk_farta_de_ti_2008,g_foxx_feat_cynthiah_g_n_te_kru_perder_2007,g_foxx_ft_kenny_g_amor_esquecido_no_tempo_2008,g_foxx_tas_a_kurtir_tas_a_sentir_2008,kenny_g_a_minha_desillusao_2007,kenny_g_ft_cyntiiah_g_ft_g_foxx_realidade_2008,kenny_g_ft_cyntiiah_g_sera_2008,kenny_g_ft_g_foxx_e_miss_g_a_lua_mp3,kenny_g_ft_g_foxx_para_as_noxas_damas_2007"
210,"natureza,nova_corrida_nova_viagem,para_os_meus_manos,assim_como_o_segundo_pertence_a_hora,sao_tantas_as_madrugadas_passadas,sonho_3,anota_a_nota,nascido_a_4_de_julho,eles_andam_ai_new,fame"
212,"porto_covo,mulheres,trova,porto,colo_da_serra,despedida,perdidamente,funiculi_funicola,aqui_ha_truque,meia_noite_ao_luar"
215,"conselhos_maus_ze_e_miker,dexan_fala_98,nos_vida_tchoras_e_zafa,01_djas_di_street_krew_2008_dj_master_g_hino_da_street_bonus_track,01_intro_mixtape_ideias_expressadas,02_djas_di_street_krew_2008_dj_ka_nada_for_all_my_friends,02_mudancas_mixtape_ideias_expressadas,05_djas_di_street_krew_2008_dj_ka_nada_ku_techno,08_djas_di_street_krew_2008_dj_k_l_feat_dj_master_g_sem_txoru,100_alta_categoria"
217,"drum_addict_demo,mastiksoul_jacobino_decastro_remix_demo,pete_decastro_love_triangle_promo,pete_decastro_u_know_u_mix,michael_c_flashing_lights,michael_c_ft_djmike_l_rio_vs_street_brazilectro_rmx,piano_rocker_v02,pete_decastro_brainstorm,pete_decastro_u_bring_me_joy,u_bring_me_joy_extended_version"
219,"patuscada,caninha_verde,ta_pioneiro_ft_ag_ir_som_tuga_par,cum_sexy_cum,i_need_a_priest,its_lovely,golden_boys_feat_del_marquis,we_are,mulheres,eu_quero_e_ele_na_o_quer"
225,"dia_perfeito,tu_sabes_1,sonhar_te,sem_futuro,movimento,espelho_1,roleta_russa,danito_jay_p_ft_mario_myth_rute_sera_que_pensas_em_mim,halloween_procriar,halloween_s_o_s_mundo"
228,"atlantis,caipora,down_to_whisky,everyday_i_have_the_blues_ao_vivo,fly_america,i_got_my_mojo_working_ao_vivo,paulo_gama_2,paulo_gama_projectos,primavera,se_voce_vai_de_xaxado_eu_vou_de_rock_roll"
230,"about_you_1,angels_1,apologize_the_real_booty_babes,are_you_ready_1,art_of_living,a_secret,atb_remix,babila_nia,back_again_mikel_filipe_vs_muratuyar,baila_tribal_remix"
233,"parazaa_r_music_mix,best_of_trance_2008,ft_dj_epsyn_first_power,warning_power_tecnho,minguit_o_kuduro_mix,fatal_tecnho,summerjam_remix,tunning_its_not_a_crime,zig_zag_remix,uaaah_kuduro_mix"
234,"1_copu,a_2_passos_do_abismo,abominaa_a_o,a_little_perspective,amor_de_ma_e_1,claim,cool_moment,esponja,molde,my_friends"
235,"aliens,living_dead,the_darkest_room,00_recluso_feat_sub_g_participaa_a_o_de_kacetado_kalibre19,01_dia_de_sol_no_paraiso,01_djas_di_street_krew_2008_dj_master_g_hino_da_street_bonus_track,01_in_love,01_intro_mixtape_ideias_expressadas,01_meu_lugar,01_php_you_are_so_v_2"
237,"baby_girl_volta_para_mim,hora_da_verdade,madalena,arrependimento,definia_a_o_de_vida,nao_deixes_q_a_vida_fuja_de_ti,querem_beef,ta_pioneiro_ft_ag_ir_som_tuga_par,desiludido_nu_amor_myslo_ft_canuca,debora_ft_azteka_lucone_no_refra_o_sentimento_amo_r"
242,"amarradinho_em_voca,america,amigo_apaixonado_1,amor_antigo,amor_nao_venha_agora,amor_sem_juizo,a_quarentona,aqui_sa_tem_fila,arrasou,ata_mais_ver_vem_me_namorar"
248,"morgadex_friko_sirkill_dimen_new_infiltrado_puro_ataque_verbal,jp_ft_danito_nada_vai_ser_igual,sub_verso_feat_lord_rymes_pela_mudana_a,morgadex_infiltrado_olhos_brilhantes,fico_a_espera_quer_o_ver_o_fim,morgadex_ft_dimen_infiltrado_escuta_o_teu_coraa_a_o,morgadex_ft_infiltrado_amor_volta_para_mim,a_o_movimento_mixtape_discurso_directo_tropas_isek_c_heetif,mctropas_o_peso_da_culpa_r_i_p_filha,p_unit_ft_tropas_isek_patakeiros_no_movimento"
250,"destino_traa_ado_canuca,danito_tarde_demais,da_me_a_tua_ma_o,resposta_ao_kamel_estiga,deixas_me_louco_1,baby_dont_cry,porque_vais_madley_feat_mc_fly,fuck_off_katchorras_canuca_ft_isek,sexy_lady,agir_to_pionei_ro_son_tuga_pra_danxar"
252,"for_my_lady_2008_dj_drix,da_lhe_sa_mo_alex_2008_dj_silva_dj_drix,kuduro_pa_2008_dj_drix,adeus_3,wise_shory_tipicamente_portugua_s,aquela_unidade_2008_dj_drix_dj_cratera,jogada_de_mestre_2008_dj_cratera_dj_drix,kalemba_feat_pongolove_1_remix_house_dj_drix,kuza_bruto_2008_dj_cratera_dj_drix,stoned_2008_dj_drix"
262,"mulheres_nuas,na_o_posso_ficar_calado,revoltado_eu_faa_o_hiphop_mixtape_poet,a_minha_hista_ria_ft_missy_e_gijoe,realidade,se_amanha,afrika_fica_comigo,kritiko_ha,patinho_feio,nao_nao_nao"
264,"o_amor_a_raro,foi_assim_1,o_meu_destino_2008,vem_pa_pa_de_mim,foi_com_um_olhar,hey_girl_ft_ntk,jp_ft_danito_ainda_penso_em_ti,welcome_ls,danito_ft_jp_marrone_o_nosso_amor_acabou_danito_produa_a_o,danito_tarde_demais"
273,"feitia_o,hear_me,negras_como_a_noite,creep_2,mentes_de_coraa_a_o_1,something_2,resposta_ao_kamel_estiga,40a_a_sombra,creep_1,i_will_survive"
274,"buraka_mix_part_2,e_verdade_ft_mentalizado,um_dos_meus_loops_com_delacruz,eu_na_o_vendo_o_meu_rap,culpado,em_cada_canto_do_meu_mundo,tu_a_s_a_minha_mulher,um_amor_perdido,danito_ft_jp_marrone_o_nosso_amor_acabou_danito_produa_a_o,apara_ncia"
275,"dj_pak_hamses_pakito_remix,rise_up_vs_zookey_dj_carbone_double_mix_yves_larock,dj_pak_by_champions_league,dj_pak_mind_control_fauvrelle_tribal_mix,dj_pak_feat_nelly_furtado_all_good_things_remix_tribal,fuck_off_katchorras_canuca_ft_isek,as_portas_do_inferno,mafia_crew_bandidagem_do_park,mafiacrew_imagina,mafia_crew_intervencao"
276,"canat_let_you_stay,the_end_of_me,ata_onde_posso_ir_aca_stico,nem_as_paredes_confesso,ta_pioneiro_ft_ag_ir_som_tuga_par,hear_me,na_o_sei_se_merea_o,a_guas_do_da_o,aqui_ha_truque,despedida"
277,"mulheres_nuas,atlantis,caipora,down_to_whisky,everyday_i_have_the_blues_ao_vivo,fly_america,i_got_my_mojo_working_ao_vivo,paulo_gama_2,paulo_gama_projectos,primavera"
280,"ddt_ft_dp_te_deseijo,ddt_revoloa_ao_ft_rimo_hip_hop,jp_onde_estas_tu,noite_remix,adeus_3,wise_shory_tipicamente_portugua_s,danito_ft_myth_jp_lagrim_as_na_cara,ultimato_urbano_k_mastah_rdk_shory_regresso_em_peso,chyvi_dodu_na_bo,dj_djony_super_creu_aguentas_duvido"
281,"a_felicidade,hiroshima,jazzitar,nocturne,paulo_gama_2,paulo_gama_projectos,stella_by_starlight,00_recluso_feat_sub_g_participaa_a_o_de_kacetado_kalibre19,01_dia_de_sol_no_paraiso,01_djas_di_street_krew_2008_dj_master_g_hino_da_street_bonus_track"
284,"1_vive_a_vida_kutegash,kutegash_porque_nao_mudas_por_mim,7_para_ti_amigo_kutegash,nao_deixo_de_pensar_mk,kutegash_can_you,mundo_magico_mk,sou_o_que_quiseres_mk,dilemas_da_vida_mk,fuck_off_katchorras_canuca_ft_isek,desculpa_eu_ser_assim"
295,"for_my_lady_2008_dj_drix,da_lhe_sa_mo_alex_2008_dj_silva_dj_drix,kuduro_pa_2008_dj_drix,aquela_unidade_2008_dj_drix_dj_cratera,jogada_de_mestre_2008_dj_cratera_dj_drix,kalemba_feat_pongolove_1_remix_house_dj_drix,kuza_bruto_2008_dj_cratera_dj_drix,stoned_2008_dj_drix,ta_gra_a_ssiv_o_2008_dj_silva_dj_drix,vocee_ta_bravo_2008_dj_drix"
296,"fuck_off_katchorras_canuca_ft_isek,agir_sagres_love_is_love,i_just_wanna_fly_with_you_feat_agir,everyday_i_have_the_blues_ao_vivo,sweet_home_alabama,agir_girlfriend,sogno_na_37_massimo_cavalli,viagem_x_za_soares,brincadeira,blue_interval_franco_piccinno"
298,"atlantis,caipora,down_to_whisky,everyday_i_have_the_blues_ao_vivo,fly_america,i_got_my_mojo_working_ao_vivo,paulo_gama_2,paulo_gama_projectos,primavera,se_voce_vai_de_xaxado_eu_vou_de_rock_roll"
300,"rise_up_especial,electro_popstar,lea_o_da_tribo_de_juda,jkc_declaraa_a_o,jkc_estejas_onde_estiveres,jkc_ft_ina_s_onde_nunca_estiveste,jkc_um_sonho_amizade_amor_2008,amizade_na_o_se_vende,amor_emocional_kutegash_produa_a_es_2008,baby_volta"
303,"a_assim_1,capta_mr_by,casal_de_cambra_ft_bkt,e_quem_voltou,estou_no_club_danos_colaterais_vol_2,rabica_miztah_by_tento_perceber,vidas_piores_que_as_nossas,fuck_off_katchorras_canuca_ft_isek,mortex_de_segunda_a_domingo_street_mix_tape_antecipaa_a_o,musica_remix"
307,"morgadex_friko_sirkill_dimen_new_infiltrado_puro_ataque_verbal,jp_ft_danito_nada_vai_ser_igual,sub_verso_feat_lord_rymes_pela_mudana_a,morgadex_infiltrado_olhos_brilhantes,fico_a_espera_quer_o_ver_o_fim,a_abrila,bluz,cana_a_o_do_mar,cris,dana_a_das_flores"
310,"a_s_tu,ata_ao_fim,a_espera_de_ti,ai_ai_katrefa,hora_da_verdade,madalena,resposta_ao_kamel_estiga,ta_pioneiro_ft_ag_ir_som_tuga_par,arrependimento,realidade"
314,"a_s_tu,ata_ao_fim,a_espera_de_ti,a_para_a_boca,a_sa_por_ti_que_escrevo,foi_assim_1,malandrinha_o_feat_enciclopa_dia_negra,montikapta_ft_p_unit_sejam_benvind0s_ao_n0sso_mundo_mortex_dih_sh_add_put0_ivo,movimentoperfe_it0_ft_lancelo_t_reflexoes,movimento_perfeito_ft_gangsquad_conseguimos"
317,"luta_de_raa_z,chalice,intro_noites_ritual_2006,live_up_noites_ritual_2006,querem_beef,arrependimento,were_playing_around_the_globe,ai_ai_katrefa,baby_girl_volta_para_mim,madalena"
319,"kool_2,badge_of_honour,queria_tocar_o_ca_u,when_losers_succeed,ta_pioneiro_ft_ag_ir_som_tuga_par,confesso,dj_lil_thug_nta_amabu_remix_love_2008,resposta_ao_kamel_estiga,01_intro_mixtape_ideias_expressadas,02_mudancas_mixtape_ideias_expressadas"
321,"dj_pak_rise_up_vocal_yves_larock_tribal_expecial,ta_pioneiro_ft_ag_ir_som_tuga_par,fuck_off_katchorras_canuca_ft_isek,dj_pak_by_champions_league,dj_pak_mind_control_fauvrelle_tribal_mix,revoltado_eu_faa_o_hiphop_mixtape_poet,caminhada_original,eu_apoio_o_bairro_para_o_bairro_me_apoiar,aa_ores_marchi_nha,modinha"
322,"assim_como_o_segundo_pertence_a_hora,eles_andam_ai_new,penafiel_gaia_new,anota_a_nota,nascido_a_4_de_julho,natureza,sao_tantas_as_madrugadas_passadas,sonho_3,tu_que_me_odeias_new,nova_corrida_nova_viagem"
325,"tamawitah_es_essencial,ashduets_ft_ruby_c,ntk_da_me_a_oportunidade_2007,fuck_off_katchorras_canuca_ft_isek,asher_momentos_da_vida_promo_2007,ta_pioneiro_ft_ag_ir_som_tuga_par,danito_ft_myth_jp_lagrimas_na_cara,amo_te_alma_ga_mea,destino_traa_ado_canuca,realidade"
326,"nada,sugarless,love_loss,target_love,winner,ata_onde_posso_ir_aca_stico,desmundo,dj_mvboss_a_pa_bora,no_labirinto_da_vida,alma_ga_mea"
